"ID","movie","director","actor_1","actor_2","actor_3","year","language","score"
1057,"Earth","deepa mehta","nandita das","gulshan grover","eric peterson",1998,"Hindi",7.8
1058,"Dick Tracy","warren beatty","charlie korsmo","warren beatty","seymour cassel",1990,"English",6.1
1059,"The Thomas Crown Affair","john mctiernan","mark margolis","faye dunaway","denis leary",1999,"English",6.8
1060,"Riding in Cars with Boys","penny marshall","rosie perez","adam garcia","alissa dean",2001,"English",6.4
1061,"First Blood","ted kotcheff","sylvester stallone","brian dennehy","chris mulkey",1982,"English",7.7
1062,"Solaris","andrei tarkovsky","donatas banionis","anatoliy solonitsyn","natalya bondarchuk",1972,"Russian",8.1
1063,"Happily N'Ever After","paul bolger","sarah michelle gellar","george carlin","rob paulsen",2006,"English",4.5
1064,"Mary Reilly","stephen frears","julia roberts","bronagh gallagher","george cole",1996,"English",5.8
1065,"My Best Friend's Wedding","p.j. hogan","julia roberts","christopher masterson","rupert everett",1997,"English",6.3
1066,"America's Sweethearts","joe roth","julia roberts","rainn wilson","larry king",2001,"English",5.7
1067,"Insomnia","christopher nolan","al pacino","maura tierney","crystal lowe",2002,"English",7.2
1068,"Star Trek: First Contact","jonathan frakes","levar burton","alfre woodard","jonathan frakes",1996,"English",7.6
1069,"Jonah Hex","jimmy hayward","michael fassbender","billy blair","julia jones",2010,"English",4.7
1070,"Courage Under Fire","edward zwick","denzel washington","matt damon","scott glenn",1996,"English",6.6
1071,"Liar Liar","tom shadyac","maura tierney","swoosie kurtz","randall 'tex' cobb",1997,"English",6.8
1072,"The Infiltrator","brad furman","joseph gilgun","amy ryan","olympia dukakis",2016,"English",7.3
1073,"Inchon","terence young","laurence olivier","ben gazzara","jacqueline bisset",1981,"English",2.7
1074,"The Flintstones","brian levant","jonathan winters","elizabeth perkins","harvey korman",1994,"English",4.8
1075,"Taken 2","olivier megaton","liam neeson","luke grimes","d.b. sweeney",2012,"English",6.3
1076,"Scary Movie 3","david zucker","regina hall","pamela anderson","jenny mccarthy",2003,"English",5.5
1077,"Miss Congeniality","donald petrie","candice bergen","wendy raquel robinson","heather burns",2000,"English",6.2
1078,"Journey to the Center of the Earth","eric brevig","josh hutcherson","brendan fraser","anita briem",2008,"English",5.8
1079,"The Princess Diaries 2: Royal Engagement","garry marshall","anne hathaway","raven-symoné","hector elizondo",2004,"English",5.7
1080,"The Pelican Brief","alan j. pakula","denzel washington","julia roberts","tony goldwyn",1993,"English",6.5
1081,"The Client","joel schumacher","bradley whitford","anthony lapaglia","brad renfro",1994,"English",6.7
1082,"The Bucket List","rob reiner","morgan freeman","noel gugliemi","sean hayes",2007,"English",7.4
1083,"Patriot Games","phillip noyce","harrison ford","polly walker","patrick bergin",1992,"English",6.9
1084,"Monster-in-Law","robert luketic","adam scott","jane fonda","elaine stritch",2005,"English",5.5
1085,"Prisoners","denis villeneuve","hugh jackman","jake gyllenhaal","dylan minnette",2013,"English",8.1
1086,"Training Day","antoine fuqua","denzel washington","snoop dogg","tom berenger",2001,"English",7.7
1087,"Galaxy Quest","dean parisot","alan rickman","enrico colantoni","robin sachs",1999,"English",7.3
1088,"Scary Movie 2","keenen ivory wayans","natasha lyonne","veronica cartwright","andy richter",2001,"English",5.2
1089,"The Muppets","james bobin","bill cobbs","eric jacobson","steve whitmire",2011,"English",7.1
1090,"Blade","stephen norrington","sanaa lathan","traci lords","udo kier",1998,"English",7.1
1091,"Coach Carter","thomas carter","channing tatum","rick gonzalez","robert ri'chard",2005,"English",7.2
1092,"Changing Lanes","roger michell","sydney pollack","matt malloy","bruce altman",2002,"English",6.5
1093,"Anaconda","luis llosa","frank welker","eric stoltz","kari wuhrer",1997,"English",4.6
1094,"Coyote Ugly","david mcnally","adam garcia","tyra banks","izabella miko",2000,"English",5.6
1095,"Love Actually","richard curtis","colin firth","liam neeson","kris marshall",2003,"English",7.7
1096,"A Bug's Life","john lasseter","kevin spacey","madeline kahn","john ratzenberger",1998,"English",7.2
1097,"From Hell","albert hughes","johnny depp","jason flemyng","ian richardson",2001,"English",6.8
1098,"The Specialist","luis llosa","sylvester stallone","rod steiger","emilio estefan jr.",1994,"English",5.4
1099,"Tin Cup","ron shelton","don johnson","cheech marin","rene russo",1996,"English",6.3
1100,"Yours, Mine and Ours","melville shavelson","lucille ball","tom bosley","tim matheson",1968,"English",7.2
1101,"Kicking & Screaming","jesse dylan","josh hutcherson","will ferrell","robert duvall",2005,"English",5.6
1102,"The Hitchhiker's Guide to the Galaxy","garth jennings","zooey deschanel","kelly macdonald","thomas lennon",2005,"English",6.8
1103,"Fat Albert","joel zwick","dania ramirez","nick zano","alice greczyn",2004,"English",4.3
1104,"Resident Evil: Extinction","russell mulcahy","milla jovovich","mike epps","james tumminia",2007,"English",6.3
1105,"Blended","frank coraci","bella thorne","adam sandler","joel mchale",2014,"English",6.5
1106,"Last Holiday","wayne wang","ll cool j","alicia witt","timothy hutton",2006,"English",6.4
1107,"The River Wild","curtis hanson","meryl streep","glenn morshower","william lucking",1994,"English",6.3
1108,"The Indian in the Cupboard","frank oz","steve coogan","vincent kartheiser","david keith",1995,"English",5.9
1109,"Savages","oliver stone","demián bichir","shea whigham","gary stretch",2012,"English",6.5
1110,"Cellular","david r. ellis","richard burgi","valerie cruz","will beinbrink",2004,"English",6.5
1111,"Johnny English","peter howitt","kevin mcnally","natalie imbruglia","ben miller",2003,"English",6.1
1112,"The Ant Bully","john a. davis","nicolas cage","meryl streep","julia roberts",2006,"English",5.9
1113,"Dune","david lynch","virginia madsen","jürgen prochnow","josé ferrer",1984,"English",6.6
1114,"Across the Universe","julie taymor","jim sturgess","t.v. carpio","robert clohessy",2007,"English",7.4
1115,"Revolutionary Road","sam mendes","leonardo dicaprio","kate winslet","joe komara",2008,"English",7.3
1116,"16 Blocks","richard donner","bruce willis","david zayas","sasha roiz",2006,"English",6.6
1117,"Babylon A.D.","mathieu kassovitz","vin diesel","charlotte rampling","david belle",2008,"English",5.6
1118,"The Glimmer Man","john gray","alexa penavega","bob gunton","keenen ivory wayans",1996,"English",5.3
1119,"Multiplicity","harold ramis","john de lancie","brian doyle-murray","obba babatundé",1996,"English",6
1120,"Aliens in the Attic","john schultz","malese jow","carter jenkins","tim meadows",2009,"English",5.4
1121,"The Pledge","sean penn","costas mandylor","adrien dorval","nels lennarson",2001,"English",6.8
1122,"The Producers","susan stroman","jon lovitz","will ferrell","matthew broderick",2005,"English",6.4
1123,"Dredd","pete travis","wood harris","jason cope","rakie ayola",2012,"English",7.1
1124,"The Phantom","simon wincer","cary-hiroyuki tagawa","treat williams","kristy swanson",1996,"English",4.9
1125,"All the Pretty Horses","billy bob thornton","matt damon","henry thomas","sam shepard",2000,"English",5.8
1126,"Nixon","oliver stone","anthony hopkins","bob hoskins","joan allen",1995,"English",7.1
1127,"The Ghost Writer","roman polanski","jim belushi","olivia williams","timothy hutton",2010,"English",7.2
1128,"Deep Rising","stephen sommers","djimon hounsou","jason flemyng","wes studi",1998,"English",6
1129,"Miracle at St. Anna","spike lee","joseph gordon-levitt","omari hardwick","laz alonso",2008,"English",6
1130,"Curse of the Golden Flower","yimou zhang","li gong","ye liu","man li",2006,"Mandarin",7
1131,"Bangkok Dangerous","danny pang","nicolas cage","charlie yeung","james with",2008,"English",5.4
1132,"Big Trouble","barry sonnenfeld","zooey deschanel","janeane garofalo","omar epps",2002,"English",6.5
1133,"Love in the Time of Cholera","mike newell","marcela mar","giovanna mezzogiorno","unax ugalde",2007,"English",6.4
1134,"The Returned","","pierre perrier","clotilde hesme","céline sallette",NA,"French",8.3
1135,"Shadow Conspiracy","george p. cosmatos","sam waterston","ben gazzara","nicholas turturro",1997,"English",4.9
1136,"Johnny English Reborn","oliver parker","daniel kaluuya","tim mcinnerny","togo igawa",2011,"English",6.3
1137,"Foodfight!","lawrence kasanoff","jerry stiller","larry miller","harvey fierstein",2012,"English",1.7
1138,"Argo","ben affleck","clea duvall","scoot mcnairy","tate donovan",2012,"English",7.7
1139,"The Fugitive","andrew davis","harrison ford","daniel roebuck","sela ward",1993,"English",7.8
1140,"The Bounty Hunter","andy tennant","gerard butler","dorian missick","peter greene",2010,"English",5.5
1141,"Sleepers","barry levinson","robert de niro","brad pitt","minnie driver",1996,"English",7.5
1142,"Rambo: First Blood Part II","george p. cosmatos","sylvester stallone","julia nickson","martin kove",1985,"English",6.4
1143,"The Juror","brian gibson","joseph gordon-levitt","demi moore","anne heche",1996,"English",5.6
1144,"Pinocchio","norman ferguson","mel blanc","dickie jones","cliff edwards",1940,"English",7.5
1145,"Heaven's Gate","michael cimino","jeff bridges","sam waterston","isabelle huppert",1980,"English",6.8
1146,"Underworld: Evolution","len wiseman","sophia myles","tony curran","derek jacobi",2006,"English",6.8
1147,"Victor Frankenstein","paul mcguigan","daniel radcliffe","spencer wilding","daniel mays",2015,"English",6
1148,"Finding Forrester","gus van sant","f. murray abraham","rob brown","michael nouri",2000,"English",7.3
1149,"28 Days","betty thomas","steve buscemi","viggo mortensen","elizabeth perkins",2000,"English",6
1150,"Unleashed","louis leterrier","morgan freeman","jet li","bob hoskins",2005,"English",7
1151,"The Sweetest Thing","roger kumble","judith chapman","lillian adams","chelsea bond",2002,"English",5.1
1152,"The Firm","sydney pollack","tom cruise","holly hunter","wilford brimley",1993,"English",6.8
1153,"Charlie St. Cloud","burr steers","augustus prew","charlie tahan","valerie tian",2010,"English",6.5
1154,"The Mechanic","simon west","jason statham","tony goldwyn","mini anden",2011,"English",6.6
1155,"21 Jump Street","phil lord","channing tatum","dax flame","rob riggle",2012,"English",7.2
1156,"Notting Hill","roger michell","julia roberts","clarke peters","dylan moran",1999,"English",7
1157,"Chicken Run","peter lord","imelda staunton","miranda richardson","julia sawalha",2000,"English",7
1158,"Along Came Polly","john hamburg","philip seymour hoffman","masi oka","debra messing",2004,"English",5.9
1159,"Boomerang","reginald hudlin","john witherspoon","eartha kitt","geoffrey holder",1992,"English",5.4
1160,"The Heat","paul feig","michael rapaport","william xifaras","demián bichir",2013,"English",6.6
1161,"Cleopatra","joseph l. mankiewicz","martin landau","richard burton","roddy mcdowall",1963,"English",7
1162,"Here Comes the Boom","frank coraci","salma hayek","reggie lee","charice",2012,"English",6.5
1163,"High Crimes","carl franklin","morgan freeman","adam scott","bruce davison",2002,"English",6.3
1164,"The Mirror Has Two Faces","barbra streisand","jeff bridges","austin pendleton","mimi rogers",1996,"English",6.5
1165,"The Mothman Prophecies","mark pellington","debra messing","will patton","david eigenberg",2002,"English",6.5
1166,"Brüno","larry charles","bono","elton john","slash",2009,"English",5.8
1167,"Licence to Kill","john glen","robert davi","talisa soto","anthony zerbe",1989,"English",6.6
1168,"Red Riding Hood","catherine hardwicke","gary oldman","billy burke","virginia madsen",2011,"English",5.4
1169,"15 Minutes","john herzfeld","robert de niro","charlize theron","kelsey grammer",2001,"English",6.1
1170,"Super Mario Bros.","annabel jankel","bob hoskins","fisher stevens","fiona shaw",1993,"English",4
1171,"Lord of War","andrew niccol","nicolas cage","jeremy crutchley","jared burke",2005,"English",7.6
1172,"Hero","yimou zhang","jet li","tony chiu wai leung","maggie cheung",2002,"Mandarin",7.9
1173,"One for the Money","julie anne robinson","fisher stevens","debbie reynolds","patrick fischler",2012,"English",5.3
1174,"The Interview","evan goldberg","james franco","randall park","anders holm",2014,"English",6.6
1175,"The Warrior's Way","sngmoo lee","tony cox","dong-gun jang","jed brophy",2010,"English",6.3
1176,"McHale's Navy","","tim conway","gavin macleod","bob hastings",NA,"English",7.5
1177,"Micmacs","jean-pierre jeunet","omar sy","dany boon","andré dussollier",2009,"French",7.2
1178,"8 Mile","curtis hanson","mekhi phifer","omar benson miller","evan jones",2002,"English",7
1179,"Animal Kingdom: Let's go Ape","jamel debbouze","jamel debbouze","youssef hajdi","mélissa theuriau",2015,"French",4.9
1180,"A Knight's Tale","brian helgeland","heath ledger","rufus sewell","bérénice bejo",2001,"English",6.9
1181,"The Medallion","gordon chan","julian sands","lee evans","anthony chau-sang wong",2003,"English",5.2
1182,"The Sixth Sense","m. night shyamalan","bruce willis","haley joel osment","olivia williams",1999,"English",8.1
1183,"Man on a Ledge","asger leth","robert clohessy","mandy gonzalez","j. smith-cameron",2012,"English",6.6
1184,"The Big Year","david frankel","joel mchale","kevin pollak","jobeth williams",2011,"English",6.2
1185,"The Karate Kid","john g. avildsen","martin kove","william zabka","william bassett",1984,"English",7.2
1186,"American Hustle","david o. russell","jennifer lawrence","christian bale","bradley cooper",2013,"English",7.3
1187,"The Proposal","anne fletcher","ryan reynolds","denis o'hare","craig t. nelson",2009,"English",6.7
1188,"Double Jeopardy","bruce beresford","bruce greenwood","annabeth gish","bruce campbell",1999,"English",6.4
1189,"Back to the Future Part II","robert zemeckis","lea thompson","jeffrey weissman","thomas f. wilson",1989,"English",7.8
1190,"Lucy","luc besson","scarlett johansson","morgan freeman","amr waked",2014,"English",6.4
1191,"Fifty Shades of Grey","sam taylor-johnson","jennifer ehle","luke grimes","callum rennie",2015,"English",4.1
